adm0.x,adm0.y,NS_tag.x,NS_tag.y,simi_scale,vote_scale,bibi_scale,NS_tag,R,V,A,tag,adm0_name.x,adm0_name.y
AGO,BRA,GS,GS,0.973429737,0.950110051,0,GS-GS,2,2,-2,HHL,Angola,Brazil
AGO,CHN,GS,GS,1,0.899519278,0,GS-GS,2,1,-2,HHL,Angola,China
AGO,COL,GS,GS,0.937017914,0.753826672,0,GS-GS,2,-1,-2,HLL,Angola,Colombia
AGO,ERI,GS,GS,0.909263598,0.982954836,0,GS-GS,2,2,-2,HHL,Angola,Eritrea
AGO,ETH,GS,GS,0.913387508,0.964843703,0,GS-GS,2,2,-2,HHL,Angola,Ethiopia
AGO,IDN,GS,GS,0.961103184,0.885913426,0,GS-GS,2,1,-2,HHL,Angola,Indonesia
AGO,IND,GS,GS,0.95263901,0.923024352,0,GS-GS,2,2,-2,HHL,Angola,India
AGO,KEN,GS,GS,0.921550346,0.957284968,0,GS-GS,2,2,-2,HHL,Angola,Kenya
AGO,LBN,GS,GS,0.905665385,0.887423935,0,GS-GS,2,1,-2,HHL,Angola,Lebanon
AGO,LBR,GS,GS,0.915391665,0.849000367,0,GS-GS,2,1,-2,HHL,Angola,Liberia
AGO,LKA,GS,GS,0.907561876,0.961166137,0,GS-GS,2,2,-2,HHL,Angola,Sri Lanka
AGO,MEX,GS,GS,0.955707128,0.924431401,0,GS-GS,2,2,-2,HHL,Angola,Mexico
AGO,MOZ,GS,GS,0.90105048,0.99960658,0,GS-GS,2,2,-2,HHL,Angola,Mozambique
AGO,MYS,GS,GS,0.961156532,0.870963527,0,GS-GS,2,1,-2,HHL,Angola,Malaysia
AGO,NGA,GS,GS,0.918359858,0.957284968,0,GS-GS,2,2,-2,HHL,Angola,Nigeria
AGO,PAK,GS,GS,0.918895805,0.853182189,0,GS-GS,2,1,-2,HHL,Angola,Pakistan
AGO,SOM,GS,GS,0.954136108,0.934452338,0,GS-GS,2,2,-2,HHL,Angola,Somalia
AGO,SYR,GS,GS,0.930418494,0.807889836,0,GS-GS,2,1,-2,HHL,Angola,Syrian Arab Republic
AGO,THA,GS,GS,0.910027532,0.962069971,0,GS-GS,2,2,-2,HHL,Angola,Thailand
AGO,TZA,GS,GS,0.933548547,0.942061519,0,GS-GS,2,2,-2,HHL,Angola,United Republic of Tanzania
AGO,VEN,GS,GS,0.914869725,0.692600209,0,GS-GS,2,-1,-2,HLL,Angola,Venezuela
AGO,YEM,GS,GS,0.938494145,0.829953349,0,GS-GS,2,1,-2,HHL,Angola,Yemen
AGO,ZAF,GS,GS,0.969019703,0.882564037,0,GS-GS,2,1,-2,HHL,Angola,South Africa
ARE,ARG,GS,GS,0.993162628,0.799944506,0,GS-GS,2,1,-2,HHL,United Arab Emirates,Argentina
ARE,BRA,GS,GS,0.942831943,0.867924528,0.036594436,GS-GS,2,1,-2,HHL,United Arab Emirates,Brazil
ARE,CHL,GS,GS,0.988043677,0.828523862,0,GS-GS,2,1,-2,HHL,United Arab Emirates,Chile
ARE,EGY,GS,GS,0.986028884,0.961132075,0.425803355,GS-GS,2,2,2,HHH,United Arab Emirates,Egypt
ARE,GAB,GS,GS,0.91902701,0.859174186,0,GS-GS,2,1,-2,HHL,United Arab Emirates,Gabon
ARE,IRN,GS,GS,0.91440526,0.975084664,0,GS-GS,2,2,-2,HHL,United Arab Emirates,Iran
ARE,IRQ,GS,GS,0.91440526,0.961643496,0,GS-GS,2,2,-2,HHL,United Arab Emirates,Iraq
